rank,symbol,score,setup_quality,stage,rs_rating,vcp_qualified,breakout_triggered,entry_price,stop_loss,risk_pct,in_watchlist,fundamental_pass,fundamental_details,news_score
1,AIAENG,0,FAIL,1,0,False,False,,,,True,False,{},
2,ASIANTILES,0,FAIL,1,0,False,False,,,,True,False,{},
3,AUBANK,0,FAIL,1,0,False,False,,,,True,False,{},
4,CRAFTSMAN,0,FAIL,1,0,False,False,,,,True,False,{},
5,DCBBANK,0,FAIL,1,0,False,False,,,,True,False,{},
6,DREDGECORP,0,FAIL,1,0,False,False,,,,True,False,{},
7,HINDZINC,0,FAIL,1,0,False,False,,,,True,False,{},
8,KAPSTON,0,FAIL,3,0,False,False,,,,True,False,{},
9,MUFIN,0,FAIL,1,0,False,False,,,,True,False,{},
10,SKYGOLD,0,FAIL,1,0,False,False,,,,True,False,{},
11,ASIANPAINT,0,FAIL,1,0,False,False,,,,False,False,{},
12,AXISBANK,0,FAIL,1,0,False,False,,,,False,False,{},
13,BAJFINANCE,0,FAIL,4,0,False,False,,,,False,False,{},
14,CDSL,0,FAIL,1,0,False,False,,,,False,False,{},
15,DIXON,0,FAIL,4,0,False,False,,,,False,False,{},
16,DMART,0,FAIL,1,0,False,False,,,,False,False,{},
17,HCLTECH,0,FAIL,1,0,False,False,,,,False,False,{},
18,HDFCBANK,0,FAIL,4,0,False,False,,,,False,False,{},
19,ICICIBANK,0,FAIL,1,0,False,False,,,,False,False,{},
20,INFY,0,FAIL,4,0,False,False,,,,False,False,{},
21,LTIM,0,FAIL,4,0,False,False,,,,False,False,{},
22,MARUTI,0,FAIL,1,0,False,False,,,,False,False,{},
23,NESTLEIND,0,FAIL,3,0,False,False,,,,False,False,{},
24,RELIANCE,0,FAIL,4,0,False,False,,,,False,False,{},
25,SBIN,0,FAIL,3,0,False,False,,,,False,False,{},
26,SUNPHARMA,0,FAIL,1,0,False,False,,,,False,False,{},
27,TATAELXSI,0,FAIL,4,0,False,False,,,,False,False,{},
28,TCS,0,FAIL,4,0,False,False,,,,False,False,{},
29,WIPRO,0,FAIL,4,0,False,False,,,,False,False,{},
